molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL340807,COc1ccc2c3c([nH]c2c1)C(C)=NCC3,active,214.26799999999997,2.5416000000000007,1.0,2.0,6.97061622231479
CHEMBL1794051,Oc1c(Br)cc(C=C2c3cc(I)ccc3NC2O)cc1Br,active,522.962,4.806300000000002,3.0,3.0,7.026872146400302
CHEMBL148333,CNCCNS(=O)(=O)c1cccc2cnccc12,active,265.338,0.7324999999999997,2.0,4.0,7.00436480540245
CHEMBL406821,Cc1cncc2cccc(S(=O)(=O)N3CCCNC[C@@H]3C)c12,active,319.43,1.9157199999999999,1.0,4.0,7.00436480540245
CHEMBL478629,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,active,399.4980000000001,4.323000000000003,0.0,6.0,7.236572006437063
CHEMBL264406,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,active,317.3960000000001,3.9837000000000025,1.0,5.0,7.026872146400302
CHEMBL406845,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,active,301.781,3.483900000000001,1.0,5.0,6.991399828238082
CHEMBL573578,CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21,active,331.4230000000001,3.9075000000000024,1.0,5.0,6.954677021213342
CHEMBL413,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,active,914.187,6.180600000000006,3.0,13.0,6.991399828238082
CHEMBL605003,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,active,371.4620000000002,2.6365000000000007,2.0,3.0,6.97061622231479
CHEMBL608532,CCCCCCOC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,active,537.6160000000002,5.605600000000005,2.0,7.0,7.060480747381382
CHEMBL97771,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,active,373.41200000000015,5.182900000000004,1.0,6.0,7.0915149811213505
CHEMBL258844,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,active,551.654,6.320200000000006,2.0,6.0,7.040958607678906
CHEMBL306380,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,active,281.363,3.1389200000000006,1.0,5.0,6.935542010773082
CHEMBL576349,COc1cc(OC)c(C=C2C(=O)Nc3ccccc32)c(OC)c1,active,311.33700000000005,3.2051000000000016,1.0,4.0,6.987162775294828
CHEMBL489157,NCCNS(=O)(=O)c1ccc(Cl)c2ccncc12,active,285.75600000000003,1.1252,2.0,4.0,6.991399828238082
CHEMBL102714,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,active,371.22300000000007,4.0523000000000025,1.0,3.0,7.070581074285707
